Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
15/05/2023,0,0,16.2(0.00 %),0,0,0,0,12039296,0.0
16/05/2023,0,0,16.2(0.00 %),0,0,0,0,12039296,0.0
17/05/2023,0,0,17.9(10.49 %),0,0,0,0,12039296,0.0
18/05/2023,0,0,18(0.56 %),0,0,0,0,12039296,0.0
19/05/2023,0,0,18(0.00 %),0,0,0,0,12039296,0.0
22/05/2023,0,0,18(0.00 %),0,0,0,0,12039296,0.0
23/05/2023,0,0,16.6(-7.78 %),0,0,0,0,12039296,0.0
24/05/2023,0,0,16.6(0.00 %),0,0,0,0,12039296,0.0
25/05/2023,0,0,16.6(0.00 %),0,0,0,0,12039296,0.0
26/05/2023,0,0,16.6(0.00 %),0,0,0,0,12039296,0.0
29/05/2023,0,0,16.6(0.00 %),0,0,0,0,12039296,0.0
30/05/2023,0,0,16.6(0.00 %),0,0,0,0,12039296,0.0
31/05/2023,0,0,16.6(0.00 %),0,0,0,0,12039296,0.0
01/06/2023,0,0,16.6(0.00 %),0,0,0,0,12039296,0.0
02/06/2023,0,0,16.6(0.00 %),0,0,0,0,12039296,0.0
05/06/2023,0,0,15.2(-8.43 %),0,0,0,0,12039296,0.0
06/06/2023,0,0,15.2(2.70 %),0,0,0,0,12039296,0.0
07/06/2023,0,0,15.2(0.00 %),0,0,0,0,12039296,0.0
08/06/2023,0,0,15.2(0.00 %),0,0,0,0,12039296,0.0
09/06/2023,0,0,14.5(-4.61 %),0,0,0,0,12039296,0.0
12/06/2023,0,0,16.6(14.48 %),0,0,0,0,12039296,0.0
13/06/2023,0,0,18.9(13.86 %),0,0,0,0,12039296,0.0
14/06/2023,0,0,21.7(14.81 %),0,0,0,0,12039296,0.0
15/06/2023,0,0,18.5(-14.75 %),0,0,0,0,12039296,0.0
16/06/2023,0,0,20.6(0.00 %),0,0,0,0,12039296,0.0
19/06/2023,0,0,20.6(0.00 %),0,0,0,0,12039296,0.0
20/06/2023,0,0,20.6(0.00 %),0,0,0,0,12039296,0.0
21/06/2023,0,0,22.5(9.22 %),0,0,0,0,12039296,0.0
22/06/2023,0,0,19.2(-14.67 %),0,0,0,0,12039296,0.0
23/06/2023,0,0,19.2(0.00 %),0,0,0,0,12039296,0.0
26/06/2023,0,0,18.5(-3.65 %),0,0,0,0,12039296,0.0
27/06/2023,0,0,17.5(0.00 %),0,0,0,0,12039296,0.0
28/06/2023,0,0,17.5(0.00 %),0,0,0,0,12039296,0.0
29/06/2023,0,0,17.5(0.00 %),0,0,0,0,12039296,0.0
30/06/2023,0,0,15(-14.29 %),0,0,0,0,12039296,0.0
03/07/2023,0,0,15.2(0.00 %),0,0,0,0,12039296,0.0
04/07/2023,0,0,15.2(0.00 %),0,0,0,0,12039296,0.0
05/07/2023,0,0,15.2(0.00 %),0,0,0,0,12039296,0.0
06/07/2023,0,0,17.3(13.82 %),0,0,0,0,12039296,0.0
07/07/2023,0,0,19.4(12.14 %),0,0,0,0,12039296,0.0
10/07/2023,0,0,18.6(-4.12 %),0,0,0,0,12039296,0.0
11/07/2023,0,0,18.6(0.00 %),0,0,0,0,12039296,0.0
12/07/2023,0,0,18.6(0.00 %),0,0,0,0,12039296,0.0
13/07/2023,0,0,18.6(0.00 %),0,0,0,0,12039296,0.0
14/07/2023,0,0,18.6(0.00 %),0,0,0,0,12039296,0.0
17/07/2023,0,0,18.9(1.61 %),0,0,0,0,12039296,0.0
18/07/2023,0,0,21.7(14.81 %),0,0,0,0,12039296,0.0
19/07/2023,0,0,18.5(-14.75 %),0,0,0,0,12039296,0.0
20/07/2023,0,0,18.5(0.00 %),0,0,0,0,12039296,0.0
21/07/2023,0,0,18.5(0.00 %),0,0,0,0,12039296,0.0
24/07/2023,0,0,18.5(0.00 %),0,0,0,0,12039296,0.0
25/07/2023,0,0,20.4(10.27 %),0,0,0,0,12039296,0.0
26/07/2023,0,0,20.4(0.00 %),0,0,0,0,12039296,0.0
27/07/2023,0,0,20.4(0.00 %),0,0,0,0,12039296,0.0
28/07/2023,0,0,20.4(0.00 %),0,0,0,0,12039296,0.0
31/07/2023,0,0,23(12.75 %),0,0,0,0,12039296,0.0
01/08/2023,0,0,0(0.00 %),0,0,0,0,12039296,0.0
02/08/2023,0,0,0(0.00 %),0,0,0,0,12039296,0.0
03/08/2023,300,7710000,25.7(14.73 %),300,7710000,0,0,12038996,0.0
04/08/2023,0,0,25.7(0.00 %),0,0,0,0,12038996,0.0
07/08/2023,0,0,28.1(0.00 %),0,0,0,0,12038996,0.0
08/08/2023,0,0,32.3(14.95 %),0,0,0,0,12038996,0.0
09/08/2023,0,0,32.3(0.00 %),0,0,0,0,12038996,0.0
10/08/2023,0,0,32.3(0.00 %),0,0,0,0,12038996,0.0
11/08/2023,0,0,32.3(0.00 %),0,0,0,0,12038996,0.0
14/08/2023,0,0,32.3(0.00 %),0,0,0,0,12038996,0.0
15/08/2023,0,0,32(-0.93 %),0,0,0,0,12038996,0.0
16/08/2023,0,0,32(0.00 %),0,0,0,0,12038996,0.0
17/08/2023,0,0,32(0.00 %),0,0,0,0,12038996,0.0
18/08/2023,0,0,32(0.00 %),0,0,0,0,12038996,0.0
21/08/2023,0,0,30.4(-5.00 %),0,0,0,0,12038996,0.0
22/08/2023,0,0,27.6(0.00 %),0,0,0,0,12038996,0.0
23/08/2023,0,0,27.6(0.00 %),0,0,0,0,12038996,0.0
24/08/2023,0,0,27.6(0.00 %),0,0,0,0,12038996,0.0
25/08/2023,0,0,27.6(0.00 %),0,0,0,0,12038996,0.0
28/08/2023,0,0,27.6(0.00 %),0,0,0,0,12038996,0.0
29/08/2023,0,0,27.6(0.00 %),0,0,0,0,13242884,0.0
30/08/2023,0,0,27.6(0.00 %),0,0,0,0,13242884,0.0
31/08/2023,0,0,27.6(0.00 %),0,0,0,0,13242884,0.0
05/09/2023,0,0,30.4(10.14 %),0,0,0,0,13242884,0.0
06/09/2023,0,0,27.6(0.00 %),0,0,0,0,13242884,0.0
07/09/2023,0,0,27.6(0.00 %),0,0,0,0,13242884,0.0
08/09/2023,0,0,27.6(0.00 %),0,0,0,0,13242884,0.0
11/09/2023,0,0,23.4(-0.43 %),0,0,0,0,13242884,0.0
12/09/2023,0,0,23.4(-0.43 %),0,0,0,0,13242884,0.0
13/09/2023,0,0,21.7(0.00 %),0,0,0,0,13242884,0.0
14/09/2023,0,0,21.7(0.00 %),0,0,0,0,13242884,0.0
15/09/2023,0,0,21.7(0.00 %),0,0,0,0,13242884,0.0
18/09/2023,0,0,21.7(0.00 %),0,0,0,0,13242884,0.0
19/09/2023,0,0,21.7(0.00 %),0,0,0,0,13242884,0.0
20/09/2023,0,0,18.5(-14.75 %),0,0,0,0,13242884,0.0
21/09/2023,0,0,18.5(0.00 %),0,0,0,0,13242884,0.0
22/09/2023,0,0,18.5(0.00 %),0,0,0,0,13242884,0.0
25/09/2023,0,0,18(-2.70 %),0,0,0,0,13242884,0.0
26/09/2023,0,0,18.4(0.00 %),0,0,0,0,13242884,0.0
27/09/2023,0,0,18.4(0.00 %),0,0,0,0,13242884,0.0
28/09/2023,0,0,18.4(0.00 %),0,0,0,0,13242884,0.0
29/09/2023,0,0,16.1(-12.50 %),0,0,0,0,13242884,0.0
02/10/2023,0,0,16.1(0.00 %),0,0,0,0,13242884,0.0
03/10/2023,0,0,16.1(0.00 %),0,0,0,0,13242884,0.0
04/10/2023,0,0,16.1(0.00 %),0,0,0,0,13242884,0.0
05/10/2023,0,0,16.1(0.00 %),0,0,0,0,13242884,0.0
06/10/2023,0,0,16.1(0.00 %),0,0,0,0,13242884,0.0
09/10/2023,0,0,16.1(0.00 %),0,0,0,0,13242884,0.0
10/10/2023,0,0,18.5(14.91 %),0,0,0,0,13242884,0.0
11/10/2023,0,0,18.5(0.00 %),0,0,0,0,13242884,0.0
12/10/2023,0,0,18.5(0.00 %),0,0,0,0,13242884,0.0
13/10/2023,0,0,18.5(0.00 %),0,0,0,0,13242884,0.0
16/10/2023,0,0,18.5(0.00 %),0,0,0,0,13242884,0.0
17/10/2023,0,0,18.5(0.00 %),0,0,0,0,13242884,0.0
18/10/2023,0,0,18.5(0.00 %),0,0,0,0,13242884,0.0
19/10/2023,0,0,18.5(0.00 %),0,0,0,0,13242884,0.0
20/10/2023,0,0,18.5(0.00 %),0,0,0,0,13242884,0.0
23/10/2023,0,0,18.5(0.00 %),0,0,0,0,13242884,0.0
24/10/2023,0,0,18.5(0.00 %),0,0,0,0,13242884,0.0
25/10/2023,0,0,18.5(0.00 %),0,0,0,0,13242884,0.0
26/10/2023,0,0,18.5(0.00 %),0,0,0,0,13242884,0.0
27/10/2023,0,0,18.5(0.00 %),0,0,0,0,13242884,0.0
30/10/2023,0,0,18.5(0.00 %),0,0,0,0,13242884,0.0
31/10/2023,0,0,18.5(0.00 %),0,0,0,0,13242884,0.0
01/11/2023,0,0,18.5(0.00 %),0,0,0,0,13242884,0.0
02/11/2023,0,0,18.5(0.00 %),0,0,0,0,13242884,0.0
03/11/2023,0,0,21.2(14.59 %),0,0,0,0,13242884,0.0
06/11/2023,0,0,21.2(0.00 %),0,0,0,0,13242884,0.0
07/11/2023,0,0,21.2(0.00 %),0,0,0,0,13242884,0.0
08/11/2023,0,0,21.2(0.00 %),0,0,0,0,13242884,0.0
09/11/2023,0,0,21.2(0.00 %),0,0,0,0,13242884,0.0
10/11/2023,0,0,21.2(0.00 %),0,0,0,0,13242884,0.0
13/11/2023,0,0,21.2(0.00 %),0,0,0,0,13242884,0.0
14/11/2023,0,0,21.2(0.00 %),0,0,0,0,13242884,0.0
15/11/2023,0,0,21.2(0.00 %),0,0,0,0,13242884,0.0
16/11/2023,0,0,21.2(0.00 %),0,0,0,0,13242884,0.0
17/11/2023,0,0,21.2(0.00 %),0,0,0,0,13242884,0.0
20/11/2023,0,0,21.2(0.00 %),0,0,0,0,13242884,0.0
21/11/2023,0,0,21.2(0.00 %),0,0,0,0,13242884,0.0
22/11/2023,0,0,21.2(0.00 %),0,0,0,0,13242884,0.0
23/11/2023,0,0,21.2(0.00 %),0,0,0,0,13242884,0.0
24/11/2023,0,0,21.2(0.00 %),0,0,0,0,13242884,0.0
27/11/2023,0,0,21.2(0.00 %),0,0,0,0,13242884,0.0
28/11/2023,0,0,21.2(0.00 %),0,0,0,0,13242884,0.0
29/11/2023,-100,-2430000,24.3(14.62 %),0,0,100,2430000,13242984,0.0
30/11/2023,0,0,24.3(0.00 %),0,0,0,0,13242984,0.0
01/12/2023,0,0,24.3(0.00 %),0,0,0,0,13242884,0.0
04/12/2023,0,0,24.3(0.00 %),0,0,0,0,13242884,0.0
05/12/2023,0,0,24.3(0.00 %),0,0,0,0,13242884,0.0
06/12/2023,0,0,24.3(0.00 %),0,0,0,0,13242884,0.0
07/12/2023,0,0,24.3(0.00 %),0,0,0,0,13242884,0.0
08/12/2023,0,0,24.3(0.00 %),0,0,0,0,13242884,0.0
11/12/2023,0,0,24.3(0.00 %),0,0,0,0,13242884,0.0
12/12/2023,0,0,24.3(0.00 %),0,0,0,0,13242884,0.0
13/12/2023,0,0,24.3(0.00 %),0,0,0,0,13242884,0.0
14/12/2023,0,0,24.3(0.00 %),0,0,0,0,13242884,0.0
15/12/2023,0,0,24.3(0.00 %),0,0,0,0,13242884,0.0
18/12/2023,0,0,24.3(0.00 %),0,0,0,0,13242884,0.0
19/12/2023,0,0,24.3(0.00 %),0,0,0,0,13242884,0.0
20/12/2023,0,0,24.3(0.00 %),0,0,0,0,13242984,0.0
21/12/2023,0,0,24.3(0.00 %),0,0,0,0,13242984,0.0
22/12/2023,0,0,24.3(0.00 %),0,0,0,0,13242984,0.0
25/12/2023,0,0,24.3(0.00 %),0,0,0,0,13242984,0.0
26/12/2023,0,0,24.3(0.00 %),0,0,0,0,13242984,0.0
27/12/2023,0,0,24.3(0.00 %),0,0,0,0,13242984,0.0
28/12/2023,0,0,24.3(0.00 %),0,0,0,0,13242984,0.0
29/12/2023,0,0,20.7(-14.81 %),0,0,0,0,13242984,0.0
02/01/2024,0,0,20.7(0.00 %),0,0,0,0,13242984,0.0
03/01/2024,0,0,17.6(-14.98 %),0,0,0,0,13242984,0.0
04/01/2024,0,0,17.6(0.00 %),0,0,0,0,13242984,0.0
05/01/2024,0,0,17.6(0.00 %),0,0,0,0,13242984,0.0
08/01/2024,0,0,16(-9.09 %),0,0,0,0,13242984,0.0
09/01/2024,0,0,18.6(14.81 %),0,0,0,0,13242984,0.0
10/01/2024,0,0,15.7(0.00 %),0,0,0,0,13242984,0.0
11/01/2024,0,0,15.7(0.00 %),0,0,0,0,13242984,0.0
12/01/2024,0,0,18(14.65 %),0,0,0,0,13242984,0.0
15/01/2024,0,0,18(0.00 %),0,0,0,0,13242984,0.0
16/01/2024,0,0,16.4(-8.89 %),0,0,0,0,13242984,0.0
17/01/2024,0,0,16.4(0.00 %),0,0,0,0,13242984,0.0
18/01/2024,0,0,14.2(-13.41 %),0,0,0,0,13242984,0.0
19/01/2024,0,0,14.2(0.00 %),0,0,0,0,13242984,0.0
22/01/2024,0,0,14.2(0.00 %),0,0,0,0,13242984,0.0
23/01/2024,0,0,16.3(14.79 %),0,0,0,0,13242984,0.0
24/01/2024,0,0,18.5(13.50 %),0,0,0,0,13242984,0.0
25/01/2024,0,0,16.2(-12.43 %),0,0,0,0,13242984,0.0
26/01/2024,0,0,16.2(0.00 %),0,0,0,0,13242984,0.0
29/01/2024,0,0,18.6(14.81 %),0,0,0,0,13242984,0.0
30/01/2024,0,0,18.6(0.00 %),0,0,0,0,13242984,0.0
31/01/2024,0,0,18.6(0.00 %),0,0,0,0,13242984,0.0
01/02/2024,0,0,18.6(0.00 %),0,0,0,0,13242984,0.0
02/02/2024,0,0,18.6(0.00 %),0,0,0,0,13242984,0.0
05/02/2024,0,0,18.6(0.00 %),0,0,0,0,13242984,0.0
06/02/2024,0,0,18.6(0.00 %),0,0,0,0,13242984,0.0
07/02/2024,0,0,18.6(0.00 %),0,0,0,0,13242984,0.0
15/02/2024,0,0,18.6(0.00 %),0,0,0,0,13242984,0.0
16/02/2024,0,0,18.6(0.00 %),0,0,0,0,13242984,0.0
19/02/2024,0,0,18.6(0.00 %),0,0,0,0,13242984,0.0
20/02/2024,0,0,18.6(0.00 %),0,0,0,0,13242984,0.0
21/02/2024,0,0,18.6(0.00 %),0,0,0,0,13242984,0.0
22/02/2024,0,0,18.6(0.00 %),0,0,0,0,13242984,0.0
23/02/2024,0,0,18.6(0.00 %),0,0,0,0,13242984,0.0
26/02/2024,0,0,16.6(-10.75 %),0,0,0,0,13242984,0.0
27/02/2024,0,0,16.6(0.00 %),0,0,0,0,13242984,0.0
28/02/2024,0,0,16.6(0.00 %),0,0,0,0,13242984,0.0
29/02/2024,0,0,16.6(0.00 %),0,0,0,0,13242984,0.0
01/03/2024,0,0,16.6(0.00 %),0,0,0,0,13242984,0.0
04/03/2024,0,0,16.6(0.00 %),0,0,0,0,13242984,0.0
05/03/2024,0,0,16.6(0.00 %),0,0,0,0,13242984,0.0
06/03/2024,0,0,16.6(0.00 %),0,0,0,0,13242984,0.0
07/03/2024,0,0,17(2.41 %),0,0,0,0,13242984,0.0
08/03/2024,0,0,17(0.00 %),0,0,0,0,13242984,0.0
11/03/2024,0,0,17(0.00 %),0,0,0,0,13242984,0.0
12/03/2024,0,0,17(0.00 %),0,0,0,0,13242984,0.0
13/03/2024,0,0,19.5(14.71 %),0,0,0,0,13242984,0.0
14/03/2024,0,0,19.5(0.00 %),0,0,0,0,13242984,0.0
15/03/2024,0,0,19.5(0.00 %),0,0,0,0,13242984,0.0
18/03/2024,0,0,22.3(14.36 %),0,0,0,0,13242984,0.0
19/03/2024,0,0,22.3(0.45 %),0,0,0,0,13242984,0.0
20/03/2024,0,0,22.2(0.00 %),0,0,0,0,13242984,0.0
21/03/2024,0,0,22.2(0.00 %),0,0,0,0,13242984,0.0
22/03/2024,0,0,22.2(0.00 %),0,0,0,0,13242984,0.0
25/03/2024,0,0,22.2(0.00 %),0,0,0,0,13242984,0.0
26/03/2024,0,0,22.2(0.00 %),0,0,0,0,13242984,0.0
27/03/2024,0,0,18.9(-14.86 %),0,0,0,0,13242984,0.0
28/03/2024,0,0,18.9(0.00 %),0,0,0,0,13242984,0.0
29/03/2024,0,0,18.9(0.00 %),0,0,0,0,13242984,0.0
01/04/2024,0,0,18.9(0.00 %),0,0,0,0,13242984,0.0
02/04/2024,0,0,18.9(0.00 %),0,0,0,0,13242984,0.0
03/04/2024,0,0,18.9(0.00 %),0,0,0,0,13242984,0.0
04/04/2024,0,0,18.9(0.00 %),0,0,0,0,13242984,0.0
05/04/2024,0,0,18.9(0.00 %),0,0,0,0,13242984,0.0
08/04/2024,0,0,18.9(0.00 %),0,0,0,0,13242984,0.0
09/04/2024,0,0,18.9(0.00 %),0,0,0,0,13242984,0.0
10/04/2024,0,0,18.9(0.00 %),0,0,0,0,13242984,0.0
11/04/2024,0,0,18.9(0.00 %),0,0,0,0,13242984,0.0
12/04/2024,0,0,18.9(0.00 %),0,0,0,0,13242984,0.0
15/04/2024,0,0,18.9(0.00 %),0,0,0,0,13242984,0.0
16/04/2024,0,0,18.9(0.00 %),0,0,0,0,13242984,0.0
17/04/2024,0,0,18.9(0.00 %),0,0,0,0,13242984,0.0
19/04/2024,0,0,18.9(0.00 %),0,0,0,0,13242984,0.0
22/04/2024,0,0,18.9(0.00 %),0,0,0,0,13242984,0.0
23/04/2024,0,0,18.9(0.00 %),0,0,0,0,13242984,0.0
24/04/2024,0,0,18.9(0.00 %),0,0,0,0,13242984,0.0
25/04/2024,0,0,18.9(0.00 %),0,0,0,0,13242984,0.0
26/04/2024,0,0,18.9(0.00 %),0,0,0,0,13242984,0.0
02/05/2024,0,0,18.9(0.00 %),0,0,0,0,13242984,0.0
03/05/2024,0,0,16.3(-13.76 %),0,0,0,0,13242984,0.0
06/05/2024,0,0,16.3(0.00 %),0,0,0,0,13242984,0.0
07/05/2024,0,0,16.3(0.00 %),0,0,0,0,13242984,0.0
08/05/2024,0,0,18.7(14.72 %),0,0,0,0,13242984,0.0
09/05/2024,0,0,21.5(14.97 %),0,0,0,0,13242984,0.0
10/05/2024,0,0,24(11.63 %),0,0,0,0,13242984,0.0
13/05/2024,0,0,24(0.00 %),0,0,0,0,13242984,0.0
14/05/2024,0,0,24(0.00 %),0,0,0,0,13242984,0.0
15/05/2024,0,0,24(0.00 %),0,0,0,0,13242984,0.0
16/05/2024,0,0,24(0.00 %),0,0,0,0,13242984,0.0
17/05/2024,0,0,24(0.00 %),0,0,0,0,13242984,0.0
20/05/2024,0,0,24(0.00 %),0,0,0,0,13242984,0.0
21/05/2024,0,0,20.4(-15.00 %),0,0,0,0,13242984,0.0
22/05/2024,0,0,17.4(-14.71 %),0,0,0,0,13242984,0.0
23/05/2024,0,0,17.4(0.00 %),0,0,0,0,13242984,0.0
24/05/2024,0,0,17.4(0.00 %),0,0,0,0,13242984,0.0
27/05/2024,0,0,17.4(0.00 %),0,0,0,0,13242984,0.0
28/05/2024,0,0,17.4(0.00 %),0,0,0,0,13242984,0.0
29/05/2024,0,0,17.4(0.00 %),0,0,0,0,13242984,0.0
30/05/2024,0,0,16.5(-5.17 %),0,0,0,0,13242984,0.0
31/05/2024,0,0,16.5(0.00 %),0,0,0,0,13242984,0.0
03/06/2024,0,0,16.5(0.00 %),0,0,0,0,13242984,0.0
04/06/2024,0,0,16.5(0.00 %),0,0,0,0,13242984,0.0
05/06/2024,0,0,16.5(0.00 %),0,0,0,0,13242984,0.0
06/06/2024,0,0,16.5(0.00 %),0,0,0,0,13242984,0.0
07/06/2024,0,0,16.5(0.00 %),0,0,0,0,13242984,0.0
10/06/2024,0,0,16.5(0.00 %),0,0,0,0,13242984,0.0
11/06/2024,0,0,16.5(0.00 %),0,0,0,0,13242984,0.0
12/06/2024,0,0,16.5(0.00 %),0,0,0,0,13242984,0.0
13/06/2024,0,0,17.5(6.06 %),0,0,0,0,13242984,0.0
14/06/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
17/06/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
18/06/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
19/06/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
20/06/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
21/06/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
24/06/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
25/06/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
26/06/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
27/06/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
28/06/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
03/07/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
04/07/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
05/07/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
08/07/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
09/07/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
10/07/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
11/07/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
12/07/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
15/07/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
16/07/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
17/07/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
18/07/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
19/07/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
22/07/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
23/07/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
24/07/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
25/07/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
26/07/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
29/07/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
30/07/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
31/07/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
01/08/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
02/08/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
05/08/2024,0,0,17.5(0.00 %),0,0,0,0,13242984,0.0
06/08/2024,0,0,15.5(-11.43 %),0,0,0,0,13242984,0.0
07/08/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
08/08/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
09/08/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
12/08/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
13/08/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
14/08/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
15/08/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
16/08/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
19/08/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
20/08/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
21/08/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
22/08/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
23/08/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
26/08/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
27/08/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
28/08/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
29/08/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
30/08/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
04/09/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
05/09/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
06/09/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
09/09/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
10/09/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
11/09/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
12/09/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
13/09/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
16/09/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
17/09/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
18/09/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
19/09/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
20/09/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
23/09/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
24/09/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
25/09/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
26/09/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
27/09/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
30/09/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
01/10/2024,0,0,13.3(-14.19 %),0,0,0,0,13242984,0.0
02/10/2024,0,0,13.3(0.00 %),0,0,0,0,13242984,0.0
03/10/2024,0,0,11.4(-14.29 %),0,0,0,0,13242984,0.0
04/10/2024,0,0,11.4(0.00 %),0,0,0,0,13242984,0.0
07/10/2024,0,0,13.1(14.91 %),0,0,0,0,13242984,0.0
08/10/2024,0,0,13.1(0.00 %),0,0,0,0,13242984,0.0
09/10/2024,0,0,15(14.50 %),0,0,0,0,13242984,0.0
10/10/2024,0,0,15(0.00 %),0,0,0,0,13242984,0.0
11/10/2024,0,0,12.9(-14.57 %),0,0,0,0,13242984,0.0
14/10/2024,0,0,14(8.53 %),0,0,0,0,13242984,0.0
15/10/2024,0,0,14.5(5.84 %),0,0,0,0,13242984,0.0
16/10/2024,0,0,15.4(6.94 %),0,0,0,0,13242984,0.0
17/10/2024,0,0,13.7(-11.04 %),0,0,0,0,13242984,0.0
18/10/2024,0,0,13.9(1.46 %),0,0,0,0,13242984,0.0
21/10/2024,0,0,15.4(10.00 %),0,0,0,0,13242984,0.0
22/10/2024,0,0,17.8(14.84 %),0,0,0,0,13242984,0.0
23/10/2024,0,0,15(-9.64 %),0,0,0,0,13242984,0.0
24/10/2024,0,0,15.5(6.90 %),0,0,0,0,13242984,0.0
25/10/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
28/10/2024,0,0,15.5(0.00 %),0,0,0,0,13242984,0.0
29/10/2024,0,0,13.5(-8.16 %),0,0,0,0,13242984,0.0
30/10/2024,0,0,14.6(6.57 %),0,0,0,0,13242984,0.0
31/10/2024,0,0,14.6(0.00 %),0,0,0,0,13242984,0.0
01/11/2024,0,0,12.5(-14.38 %),0,0,0,0,13242984,0.0
04/11/2024,0,0,12.5(0.00 %),0,0,0,0,13242984,0.0
05/11/2024,0,0,14.3(14.40 %),0,0,0,0,13242984,0.0
06/11/2024,0,0,14(-2.10 %),0,0,0,0,13242984,0.0
07/11/2024,0,0,14(0.00 %),0,0,0,0,13242984,0.0
08/11/2024,0,0,12.2(-12.86 %),0,0,0,0,13242984,0.0
11/11/2024,0,0,12.5(2.46 %),0,0,0,0,13242984,0.0
12/11/2024,0,0,12.5(0.00 %),0,0,0,0,13242984,0.0
13/11/2024,0,0,12.5(0.00 %),0,0,0,0,13242984,0.0
